,target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
51,TransitionBlock,2019-04-15 12:23:40.038,2019-04-15 12:24:20.038,0.6666666666667176,,,[]
52,25,2019-04-15 12:34:00.039,2019-04-15 12:36:00.039,1.999999999999993,271.381853,38.608981,{'filter': 'R'}
53,TransitionBlock,2019-04-15 12:36:00.039,2019-04-15 12:36:20.039,0.33333333333327886,,,[]
54,2,2019-04-15 12:49:00.039,2019-04-15 12:51:20.039,2.3333333333332718,288.053844,36.115356,{'filter': 'R'}
55,TransitionBlock,2019-04-15 12:51:20.039,2019-04-15 12:52:40.039,1.3333333333334352,,,[]
56,147,2019-04-15 12:53:40.039,2019-04-15 12:56:40.039,2.9999999999999893,259.750191,-21.259022,{'filter': 'R'}
57,TransitionBlock,2019-04-15 12:56:40.039,2019-04-15 12:57:40.039,0.9999999999999964,,,['filter:R to B']
58,106,2019-04-15 12:58:20.040,2019-04-15 13:00:40.040,2.3333333333332718,273.471406,4.047728,{'filter': 'B'}
59,TransitionBlock,2019-04-15 13:00:40.040,2019-04-15 13:02:40.040,1.999999999999993,,,['filter:B to R']
60,51,2019-04-15 13:12:00.040,2019-04-15 13:15:20.040,3.333333333333428,309.310579,82.080862,{'filter': 'R'}
61,TransitionBlock,2019-04-15 13:15:20.040,2019-04-15 13:16:40.040,1.3333333333334352,,,['filter:R to B']
62,2,2019-04-15 13:22:20.040,2019-04-15 13:24:40.040,2.3333333333332718,288.053844,36.115356,{'filter': 'B'}
63,TransitionBlock,2019-04-15 13:24:40.040,2019-04-15 13:25:40.040,0.9999999999999964,,,[]
64,51,2019-04-15 13:42:00.041,2019-04-15 13:45:20.041,3.333333333333428,309.310579,82.080862,{'filter': 'B'}
65,TransitionBlock,2019-04-15 13:45:20.041,2019-04-15 13:46:20.041,0.9999999999999964,,,[]
66,102,2019-04-15 14:07:00.042,2019-04-15 14:09:40.042,2.6666666666667105,231.248314,43.785826,{'filter': 'B'}
67,TransitionBlock,2019-04-15 14:09:40.042,2019-04-15 14:10:00.042,0.33333333333343873,,,['filter:B to R']
68,102,2019-04-15 14:12:00.042,2019-04-15 14:14:40.042,2.6666666666667105,231.248314,43.785826,{'filter': 'R'}
69,TransitionBlock,2019-04-15 14:14:40.042,2019-04-15 14:17:00.042,2.3333333333334316,,,['filter:R to B']
